chapter_id,chapter_label,chapter_description,subchapter_id,subchapter_label,subchapter_description,part_id,part_label,part_description,subpart_id,subpart_label,subpart_description,section_number,section_label,section_level,section_title,citation,reserved,volumes,received_on,size,text
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,E,Subpart E—Imports and Exports,Imports and Exports,1.91,§ 1.91 Payment for samples.,§ 1.91,Payment for samples.,21 CFR 1.91,FALSE,1,2020-08-19T20:00:09-0400,935,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,E,Subpart E—Imports and Exports,Imports and Exports,1.94,§ 1.94 Hearing on refusal of admission or destruction.,§ 1.94,Hearing on refusal of admission or destruction.,21 CFR 1.94,FALSE,1,2024-07-02T19:31:04-0400,2289,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,E,Subpart E—Imports and Exports,Imports and Exports,1.95,§ 1.95 Application for authorization to relabel and recondition.,§ 1.95,Application for authorization to relabel and recondition.,21 CFR 1.95,FALSE,1,2020-08-19T20:00:09-0400,906,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,E,Subpart E—Imports and Exports,Imports and Exports,1.96,§ 1.96 Granting of authorization to relabel and recondition.,§ 1.96,Granting of authorization to relabel and recondition.,21 CFR 1.96,FALSE,1,2020-08-19T20:00:09-0400,1965,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,E,Subpart E—Imports and Exports,Imports and Exports,1.97,§ 1.97 Bonds.,§ 1.97,Bonds.,21 CFR 1.97,FALSE,1,2020-08-19T20:00:09-0400,1643,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,E,Subpart E—Imports and Exports,Imports and Exports,1.99,§ 1.99 Costs chargeable in connection with relabeling and reconditioning inadmissible imports.,§ 1.99,Costs chargeable in connection with relabeling and reconditioning inadmissible imports.,21 CFR 1.99,FALSE,1,2025-03-14T17:40:17-0400,4815,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,E,Subpart E—Imports and Exports,Imports and Exports,1.101,§ 1.101 Notification and recordkeeping.,§ 1.101,Notification and recordkeeping.,21 CFR 1.101,FALSE,1,2023-03-31T21:40:18-0400,8381,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,H,Subpart H—Registration of Food Facilities,Registration of Food Facilities,1.225,§ 1.225 Who must register under this subpart?,§ 1.225,Who must register under this subpart?,21 CFR 1.225,FALSE,1,2017-01-05T00:00:00-0500,962,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,H,Subpart H—Registration of Food Facilities,Registration of Food Facilities,1.226,§ 1.226 Who does not have to register under this subpart?,§ 1.226,Who does not have to register under this subpart?,21 CFR 1.226,FALSE,1,2017-01-05T00:00:00-0500,1883,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,H,Subpart H—Registration of Food Facilities,Registration of Food Facilities,1.227,§ 1.227 What definitions apply to this subpart?,§ 1.227,What definitions apply to this subpart?,21 CFR 1.227,FALSE,1,2017-06-02T01:00:00-0400,15774,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,H,Subpart H—Registration of Food Facilities,Registration of Food Facilities,1.23,§ 1.230 When must you register or renew your registration?,§ 1.230,When must you register or renew your registration?,21 CFR 1.230,FALSE,1,2017-01-05T00:00:00-0500,3032,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,H,Subpart H—Registration of Food Facilities,Registration of Food Facilities,1.231,§ 1.231 How and where do you register or renew your registration?,§ 1.231,How and where do you register or renew your registration?,21 CFR 1.231,FALSE,1,2017-01-05T00:00:00-0500,10130,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,H,Subpart H—Registration of Food Facilities,Registration of Food Facilities,1.232,§ 1.232 What information is required in the registration?,§ 1.232,What information is required in the registration?,21 CFR 1.232,FALSE,1,2017-01-05T00:00:00-0500,3726,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,H,Subpart H—Registration of Food Facilities,Registration of Food Facilities,1.233,§ 1.233 Are there optional items included in the registration form?,§ 1.233,Are there optional items included in the registration form?,21 CFR 1.233,FALSE,1,2017-01-05T00:00:00-0500,456,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,H,Subpart H—Registration of Food Facilities,Registration of Food Facilities,1.234,§ 1.234 How and when do you update your facility's registration information?,§ 1.234,How and when do you update your facility's registration information?,21 CFR 1.234,FALSE,1,2017-01-05T00:00:00-0500,6211,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,H,Subpart H—Registration of Food Facilities,Registration of Food Facilities,1.235,§ 1.235 How and when do you cancel your facility's registration information?,§ 1.235,How and when do you cancel your facility's registration information?,21 CFR 1.235,FALSE,1,2017-01-05T00:00:00-0500,4578,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,H,Subpart H—Registration of Food Facilities,Registration of Food Facilities,1.24,§ 1.240 What other registration requirements apply?,§ 1.240,What other registration requirements apply?,21 CFR 1.240,FALSE,1,2017-01-05T00:00:00-0500,521,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,H,Subpart H—Registration of Food Facilities,Registration of Food Facilities,1.241,"§ 1.241 What are the consequences of failing to register, update, renew, or cancel your registration?",§ 1.241,"What are the consequences of failing to register, update, renew, or cancel your registration?",21 CFR 1.241,FALSE,1,2017-01-05T00:00:00-0500,3321,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,H,Subpart H—Registration of Food Facilities,Registration of Food Facilities,1.242,§ 1.242 What does assignment of a registration number mean?,§ 1.242,What does assignment of a registration number mean?,21 CFR 1.242,FALSE,1,2017-01-05T00:00:00-0500,486,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,H,Subpart H—Registration of Food Facilities,Registration of Food Facilities,1.243,§ 1.243 Is food registration information available to the public?,§ 1.243,Is food registration information available to the public?,21 CFR 1.243,FALSE,1,2017-01-05T00:00:00-0500,876,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,H,Subpart H—Registration of Food Facilities,Registration of Food Facilities,1.245,§ 1.245 Waiver request.,§ 1.245,Waiver request.,21 CFR 1.245,FALSE,1,2017-01-05T00:00:00-0500,1536,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,I,Subpart I—Prior Notice of Imported Food,Prior Notice of Imported Food,1.276,§ 1.276 What definitions apply to this subpart?,§ 1.276,What definitions apply to this subpart?,21 CFR 1.276,FALSE,1,2017-01-05T00:00:00-0500,6476,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,I,Subpart I—Prior Notice of Imported Food,Prior Notice of Imported Food,1.277,§ 1.277 What is the scope of this subpart?,§ 1.277,What is the scope of this subpart?,21 CFR 1.277,FALSE,1,2017-01-05T00:00:00-0500,1943,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,I,Subpart I—Prior Notice of Imported Food,Prior Notice of Imported Food,1.278,§ 1.278 Who is authorized to submit prior notice?,§ 1.278,Who is authorized to submit prior notice?,21 CFR 1.278,FALSE,1,2017-01-05T00:00:00-0500,610,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,I,Subpart I—Prior Notice of Imported Food,Prior Notice of Imported Food,1.279,§ 1.279 When must prior notice be submitted to FDA?,§ 1.279,When must prior notice be submitted to FDA?,21 CFR 1.279,FALSE,1,2017-04-04T01:00:00-0400,2898,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,I,Subpart I—Prior Notice of Imported Food,Prior Notice of Imported Food,1.28,§ 1.280 How must you submit prior notice?,§ 1.280,How must you submit prior notice?,21 CFR 1.280,FALSE,1,2025-11-26T17:20:05-0500,1643,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,I,Subpart I—Prior Notice of Imported Food,Prior Notice of Imported Food,1.281,§ 1.281 What information must be in a prior notice?,§ 1.281,What information must be in a prior notice?,21 CFR 1.281,FALSE,1,2025-11-26T17:20:05-0500,18139,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,I,Subpart I—Prior Notice of Imported Food,Prior Notice of Imported Food,1.282,§ 1.282 What must you do if information changes after you have received confirmation of a prior notice from FDA?,§ 1.282,What must you do if information changes after you have received confirmation of a prior notice from FDA?,21 CFR 1.282,FALSE,1,2017-04-04T01:00:00-0400,1609,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,I,Subpart I—Prior Notice of Imported Food,Prior Notice of Imported Food,1.283,§ 1.283 What happens to food that is imported or offered for import without adequate prior notice?,§ 1.283,What happens to food that is imported or offered for import without adequate prior notice?,21 CFR 1.283,FALSE,1,2025-11-26T17:20:05-0500,10793,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,I,Subpart I—Prior Notice of Imported Food,Prior Notice of Imported Food,1.284,§ 1.284 What are the other consequences of failing to submit adequate prior notice or otherwise failing to comply with this subpart?,§ 1.284,What are the other consequences of failing to submit adequate prior notice or otherwise failing to comply with this subpart?,21 CFR 1.284,FALSE,1,2017-01-05T00:00:00-0500,1463,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,I,Subpart I—Prior Notice of Imported Food,Prior Notice of Imported Food,1.285,§ 1.285 What happens to food that is imported or offered for import from unregistered facilities that are required to register under subpart H of this part?,§ 1.285,What happens to food that is imported or offered for import from unregistered facilities that are required to register under subpart H of this part?,21 CFR 1.285,FALSE,1,2025-11-26T17:20:05-0500,8398,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,J,"Subpart J—Establishment, Maintenance, and Availability of Records","Establishment, Maintenance, and Availability of Records",1.326,§ 1.326 Who is subject to this subpart?,§ 1.326,Who is subject to this subpart?,21 CFR 1.326,FALSE,1,2017-01-05T00:00:00-0500,908,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,J,"Subpart J—Establishment, Maintenance, and Availability of Records","Establishment, Maintenance, and Availability of Records",1.327,§ 1.327 Who is excluded from all or part of the regulations in this subpart?,§ 1.327,Who is excluded from all or part of the regulations in this subpart?,21 CFR 1.327,FALSE,1,2017-01-05T00:00:00-0500,5783,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,J,"Subpart J—Establishment, Maintenance, and Availability of Records","Establishment, Maintenance, and Availability of Records",1.328,§ 1.328 What definitions apply to this subpart?,§ 1.328,What definitions apply to this subpart?,21 CFR 1.328,FALSE,1,2017-01-05T00:00:00-0500,11443,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,J,"Subpart J—Establishment, Maintenance, and Availability of Records","Establishment, Maintenance, and Availability of Records",1.329,§ 1.329 Do other statutory provisions and regulations apply?,§ 1.329,Do other statutory provisions and regulations apply?,21 CFR 1.329,FALSE,1,2017-01-05T00:00:00-0500,1180,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,J,"Subpart J—Establishment, Maintenance, and Availability of Records","Establishment, Maintenance, and Availability of Records",1.33,§ 1.330 Can existing records satisfy the requirements of this subpart?,§ 1.330,Can existing records satisfy the requirements of this subpart?,21 CFR 1.330,FALSE,1,2017-01-05T00:00:00-0500,1218,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,J,"Subpart J—Establishment, Maintenance, and Availability of Records","Establishment, Maintenance, and Availability of Records",1.337,§ 1.337 What information must nontransporters establish and maintain to identify the nontransporter and transporter immediate previous sources of food?,§ 1.337,What information must nontransporters establish and maintain to identify the nontransporter and transporter immediate previous sources of food?,21 CFR 1.337,FALSE,1,2017-01-05T00:00:00-0500,1414,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,J,"Subpart J—Establishment, Maintenance, and Availability of Records","Establishment, Maintenance, and Availability of Records",1.345,§ 1.345 What information must nontransporters establish and maintain to identify the nontransporter and transporter immediate subsequent recipients of food?,§ 1.345,What information must nontransporters establish and maintain to identify the nontransporter and transporter immediate subsequent recipients of food?,21 CFR 1.345,FALSE,1,2017-01-05T00:00:00-0500,1575,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,J,"Subpart J—Establishment, Maintenance, and Availability of Records","Establishment, Maintenance, and Availability of Records",1.352,§ 1.352 What information must transporters establish and maintain?,§ 1.352,What information must transporters establish and maintain?,21 CFR 1.352,FALSE,1,2017-01-05T00:00:00-0500,3824,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,J,"Subpart J—Establishment, Maintenance, and Availability of Records","Establishment, Maintenance, and Availability of Records",1.36,§ 1.360 What are the record retention requirements?,§ 1.360,What are the record retention requirements?,21 CFR 1.360,FALSE,1,2017-01-05T00:00:00-0500,2716,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,J,"Subpart J—Establishment, Maintenance, and Availability of Records","Establishment, Maintenance, and Availability of Records",1.361,§ 1.361 What are the record availability requirements?,§ 1.361,What are the record availability requirements?,21 CFR 1.361,FALSE,1,2017-01-05T00:00:00-0500,1423,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,J,"Subpart J—Establishment, Maintenance, and Availability of Records","Establishment, Maintenance, and Availability of Records",1.362,§ 1.362 What records are excluded from this subpart?,§ 1.362,What records are excluded from this subpart?,21 CFR 1.362,FALSE,1,2017-01-05T00:00:00-0500,509,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,J,"Subpart J—Establishment, Maintenance, and Availability of Records","Establishment, Maintenance, and Availability of Records",1.363,§ 1.363 What are the consequences of failing to establish or maintain records or make them available to FDA as required by this subpart?,§ 1.363,What are the consequences of failing to establish or maintain records or make them available to FDA as required by this subpart?,21 CFR 1.363,FALSE,1,2017-01-05T00:00:00-0500,1425,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,J,"Subpart J—Establishment, Maintenance, and Availability of Records","Establishment, Maintenance, and Availability of Records",1.368,§ 1.368 What are the compliance dates for this subpart?,§ 1.368,What are the compliance dates for this subpart?,21 CFR 1.368,FALSE,1,2017-01-05T00:00:00-0500,1232,
